,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1
54,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,3.0,10.0
55,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0
56,4.0,4.0,1.0,5.0,3.0,3.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,6.0
57,2.0,3.0,4.0,5.0,4.0,2.0,5.0,2.0,4.0,4.0,3.0,5.0,2.0,5.0,7.0
58,4.0,4.0,3.0,2.0,3.0,,2.0,0.0,3.0,4.0,3.0,2.0,1.0,2.0,6.0
59,2.0,2.0,5.0,5.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,1.0,4.0,5.0
60,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0
61,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0
62,5.0,4.0,5.0,5.0,3.0,5.0,5.0,,4.0,5.0,5.0,4.0,5.0,4.0,7.0
63,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0
64,3.0,5.0,3.0,3.0,0.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,3.0,5.0
65,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,8.0
66,4.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,1.0,3.0,2.0,4.0,5.0,7.0
67,5.0,4.0,5.0,4.0,1.0,2.0,5.0,1.0,4.0,5.0,2.0,2.0,3.0,5.0,8.0
68,4.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,8.0
69,3.0,2.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,,1.0,1.0,3.0,5.0,6.0
70,3.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,10.0
71,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,9.0
72,4.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,2.0,4.0,3.0,6.0
73,4.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,5.0,1.0,4.0,2.0,5.0
74,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0
75,3.0,2.0,3.0,3.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,,3.0
76,5.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,7.0
77,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,10.0
78,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,8.0
79,3.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
80,4.0,5.0,1.0,3.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,,5.0,4.0,9.0
81,3.0,1.0,4.0,3.0,1.0,4.0,5.0,2.0,2.0,1.0,,,,,2.0
82,4.0,3.0,5.0,5.0,3.0,1.0,3.0,1.0,5.0,2.0,2.0,1.0,5.0,5.0,7.0
83,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,8.0
84,4.0,4.0,3.0,5.0,2.0,3.0,5.0,1.0,4.0,4.0,5.0,3.0,4.0,5.0,7.0
85,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0
86,4.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,8.0
87,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,9.0
88,4.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,7.0
