,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1
64,5,5.0,5,5,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,8.0
65,5,5.0,4,5,4.0,4.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,10.0
66,5,5.0,5,5,,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
67,5,5.0,5,5,5.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,10.0
68,5,5.0,1,5,1.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,3.0,5.0,9.0
69,3,3.0,3,3,2.0,4.0,5.0,1.0,3.0,3.0,4.0,2.0,3.0,5.0,7.0
70,5,3.0,2,1,2.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,6.0
71,5,5.0,5,4,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,10.0
72,5,,2,5,2.0,1.0,5.0,3.0,3.0,5.0,1.0,2.0,5.0,4.0,8.0
73,5,5.0,5,5,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,10.0
80,4,4.0,4,4,2.0,5.0,4.0,2.0,,,,,,,
83,5,5.0,1,5,5.0,1.0,5.0,,,,,,,,
84,5,5.0,4,4,5.0,5.0,5.0,5.0,,,,,,,
